FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL10,NL11,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,PB1,PB2,PB3,PB4,isotopes,adduct,pcgroup,Omic,Polarity
19,87.00865254647896,186.4684829711914,7208.268963133988,10611.09865820749,9778.461678125755,8203.375560005363,10365.978704450848,13043.3598162473,14101.605949559347,18328.812059632757,13531.287486722074,8180.139831983712,12399.98623508296,8731.54073734597,9585.602751139542,0,7714.91633203374,12387.971652822021,7752.137460598257,0,9879.622422653549,12975.848894057342,0,0,0,0,,,228,Mx,Negative
20,88.04032040412756,306.66212463378906,22084.190093451467,39582.59236732058,39984.40054865054,39300.15182418829,40201.28101277165,51308.87315972367,65244.79091810972,79974.73560921117,59305.59194006778,36885.991728426045,45413.87187254136,32289.94605158776,51632.23662215511,23977.178837941377,12242.210624069787,18394.98950579449,13920.888991449387,12741.764217312888,13360.929882562108,56899.19430703299,0,0,0,0,,,44,Mx,Negative
21,89.02465446344898,118.40034103393555,186774.96949147937,215167.9460138201,264549.2063164453,251601.08348980272,241339.60332249332,335405.8419959255,337615.10335770267,515164.82557724963,426773.28045815293,260680.25179116192,308360.37872433884,205980.85187735988,196591.29016378673,84982.46271553436,113753.58350754547,170860.48561696184,114579.96494610333,90562.08735120845,89649.80776481629,278690.5229280571,0,0,0,0,,,46,Mx,Negative
22,96.95992892123114,403.62432861328125,8446.093447347877,5931.057399380204,0,6153.486577558032,5416.985855600773,5282.795935839064,5756.8642512012975,0,6956.8587819896575,11961.291547281364,6822.685278683456,5672.970926812274,0,5320.271038279189,7423.4354996751235,11371.217657974883,7067.583677534945,5662.014002639345,7837.573488539711,5755.184839360369,0,0,0,0,,,671,Mx,Negative
23,96.95983164306026,548.56256103515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7111.0987340970305,7442.7557901078935,,,13,Mx,Negative
24,96.9686596508898,437.98577880859375,54007.0819863533,59376.92964906419,77202.93817568557,88875.82137056087,100726.70507571804,69501.55514561386,133176.60366985342,153148.0339696884,118601.56081695252,0,100978.20157811487,0,0,0,0,0,0,0,0,101746.48330545508,0,0,0,0,,,338,Mx,Negative
25,98.94893168669202,42.49180221557617,5088.902827569441,0,3526.6115243960885,0,0,0,3689.548011642418,0,0,7122.529869689597,23550.32908192921,4918.410454698729,2738.11777398037,3730.718898522424,20958.176277968356,84600.03133518949,0,5458.990439999599,113986.59716408573,0,0,0,0,0,,,467,Mx,Negative
26,102.05592476689853,390.0604705810547,9557.957255745481,13963.399984928956,11287.43961182551,10095.39258303121,12987.73814502752,16909.94851512737,14163.723125032331,16218.513490787258,12206.620564362398,8211.391832295345,13958.584541837192,9264.943579926687,12012.624854208587,11685.769257074287,7318.70935612967,9786.879406343332,8495.427272385557,9409.172278927981,13115.512103898544,7416.011914162952,0,0,0,0,,,72,Mx,Negative
27,104.0351662429248,331.4183044433594,10980.343266175263,7325.9434369043265,7567.582828328649,7590.504699486379,9289.911476925798,8897.16420944023,11333.218775615354,12654.544022658984,9970.36737691883,0,0,0,0,0,0,5746.596418474621,0,0,0,6782.746091557459,0,0,0,0,,,65,Mx,Negative
28,108.0202135163658,91.69950485229492,11516.649000096922,9862.603548236275,8953.34410874233,11140.451432986796,12977.63967256165,14082.359651359124,15953.886085492126,20773.923355834737,15494.940008072037,9537.994457338496,11700.55404427286,8252.986319632946,6881.941477431887,0,4279.458565300622,6977.2941962534005,4890.158392473154,0,5497.43638981685,12533.359563190206,0,0,0,0,,,270,Mx,Negative
29,111.00859472019471,469.7173927001853,72340.19432416932,126901.37383919829,89532.82958381252,98117.15346016604,108961.61757784926,91766.43773472376,102684.83101910369,112429.15577268436,98161.03048444266,102072.32504783082,110791.99024444298,81836.8809189034,144129.9441279742,40046.09454593476,41485.06022059003,66634.65077879363,49766.18961285414,36329.728010533196,43210.09411161658,116856.03359246769,0,0,0,0,,,518,Mx,Negative
30,111.01965942117269,73.46040344238281,6603.520851973018,0,0,5507.4047217099,7412.158455827049,6765.774994315696,10695.89292805371,10384.475548252318,10466.399184473952,7509.9726517513745,9967.643456444486,7922.309377250203,5766.203253437442,0,3637.4574964718913,9297.869286947878,7095.344331447697,5715.6103416876285,7472.241844733135,10722.344276914611,0,0,0,0,,,85,Mx,Negative
31,114.93591704713597,59.3629207611084,16503.75170749984,13130.215446901791,0,18164.138640596047,0,12403.847593151191,25594.913561770718,14975.342108019224,31680.307880940472,25714.23873394587,9823.067623632101,0,0,0,20374.53462269183,9810.4813124403,0,4999.1913878246105,0,0,0,0,0,0,,,424,Mx,Negative
32,115.00370697697323,403.8520202636719,38863.161523163144,46065.96718965175,64008.293938125724,50403.317237907446,54198.93803892172,70596.79676384566,76023.94268244148,94525.03877366318,78300.65471607017,42413.48625453081,48195.83432215069,42464.74477032845,59391.32498905703,41481.3130488562,17628.21113472167,23990.44336097485,19347.3994567708,15835.967973000428,22031.72466221721,54852.8884505571,0,0,0,0,,,52,Mx,Negative
