FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean,NL10_mean,NL11_mean
74,391.2854,3.233,Negative,3243,9262,0,0,3399,0,0,0,2539,0,2199,8136,0,2243,2439,3611,0,0,2702,4002
75,391.2858,0.783,Negative,825976,699503,946153,670162,904222,822040,975472,910925,790613,718480,968963,857672,711991,1026143,785563,758786,945098,635366,732271,855365
76,391.2859,1.733,Negative,22415,20281,20088,19507,23940,16542,16337,15797,17230,18582,18362,19760,0,0,0,26375,0,11767,19256,19684
77,391.2861,1.05,Negative,444410,447720,493966,491692,520201,467208,461389,475123,446531,443136,501854,556891,422159,495869,476120,438670,504859,388565,485756,446009
78,391.2861,1.433,Negative,72771,73263,79426,71836,80478,63567,60411,64046,59096,67675,70993,76440,64608,63894,78432,77799,79610,48164,73556,66409
79,407.2799,0.817,Negative,7948,8986,8242,10542,11748,7238,10041,9009,7764,9471,7619,7730,7800,9369,9610,8726,8559,6725,8955,7928
80,407.281,1.433,Negative,22412,23368,29231,29316,26676,22322,20379,22582,20255,18946,31858,34013,18602,0,23569,21536,23611,15621,20986,21015
82,411.0933,3.5,Negative,2962,3435,4005,2948,3156,4712,3756,4031,3836,2810,4232,4002,2860,3851,3252,3376,3553,3128,3164,2579
83,411.0935,3.2,Negative,3543,4664,4650,4764,5010,4955,5456,6205,4634,4296,6516,4267,2786,3450,3085,3136,3402,4758,4473,4653
84,417.1481,5.15,Negative,0,0,2479,0,3316,2813,2892,3165,2815,0,2776,0,0,0,0,0,0,2389,2320,0
87,428.2649,1.05,Negative,2722,2731,3405,2937,0,0,0,0,0,0,2048,2151,0,0,0,0,0,2307,3134,0
88,429.2595,1.05,Negative,3802,3763,4691,2387,0,2383,0,2187,0,2006,2818,3025,2168,2425,2448,2810,2590,3162,4318,2371
90,443.2575,1.567,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,22880,0,0,0,0,0,0
94,454.2804,0.85,Negative,3690,4572,5272,3521,4400,4846,3911,4243,4440,4667,4947,3994,3879,4566,3140,3532,4187,2489,3497,4261
103,487.2726,0.817,Negative,0,0,2489,0,0,2497,2294,2555,2445,0,2544,2486,0,2349,2107,0,2591,0,2137,0
104,487.2726,1.05,Negative,0,2140,2693,2062,0,2550,2035,2176,2055,0,2601,2416,0,2057,2195,0,2369,0,2376,0
107,493.3537,0.7,Negative,0,2286,4036,0,0,2096,3105,0,3299,2599,3225,3216,0,2681,2844,3141,2597,2084,4692,2743
109,499.0515,3.133,Negative,0,0,0,0,0,0,2122,2699,0,0,0,0,0,0,0,0,0,0,0,0
110,524.2817,0.783,Negative,0,0,0,0,0,0,0,2415,0,0,0,0,0,0,0,0,0,0,0,0
116,635.356,1.117,Negative,7172,4592,5206,5699,7135,5621,9573,10323,9137,6890,5153,0,6153,8638,7165,5986,7781,8903,9943,9119
118,658.3839,0.783,Negative,9699,9390,10829,9294,9906,10536,10580,10563,9489,10145,11792,10834,10174,10499,9775,10048,11277,9124,9972,9017
119,678.3725,0.833,Negative,10496,10485,18882,11192,14117,23871,28673,17720,16064,11901,24867,19890,11206,18876,13827,11464,23835,10597,14394,13531
121,678.3727,1.817,Negative,0,3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,678.3729,1.383,Negative,2265,2055,4302,2534,2462,3471,2662,2573,2783,2475,3521,3403,2122,2782,3213,2553,3589,0,2595,2168
124,694.3676,1.383,Negative,0,0,2372,0,0,2477,0,2797,0,0,2611,2401,0,0,0,0,2091,0,0,0
126,722.5141,0.783,Negative,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3089
128,746.5147,0.767,Negative,2009,0,0,0,0,0,2236,2087,0,2132,3245,0,0,0,0,0,0,0,2187,3806
129,747.5187,0.767,Negative,0,0,0,0,0,0,0,0,0,0,3162,0,0,0,0,0,0,0,0,2361
131,749.0832,3.133,Negative,0,0,0,0,0,0,0,2329,0,0,0,0,0,0,0,0,0,0,0,0
133,762.5102,0.783,Negative,0,0,0,0,0,0,0,0,0,0,2552,0,0,0,0,0,0,0,2014,2682
134,764.5246,0.767,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2233
136,766.5427,0.783,Negative,2742,0,2819,2024,2967,2179,2826,2914,2355,0,2333,0,0,0,0,0,0,0,0,4449
138,781.1048,0.783,Negative,2821,2830,3631,2969,3752,3552,3845,3264,3183,3112,3765,3598,2658,3564,3140,3344,3619,2255,3084,3132
140,781.5637,0.783,Negative,2896,2935,3528,2993,3971,3755,3778,3425,3293,3110,3878,3672,2672,3724,3218,3282,3640,2315,3298,3331
141,783.5799,1.75,Negative,0,0,0,0,0,0,0,2432,0,3178,0,0,0,0,0,0,0,0,0,0
142,783.5809,0.783,Negative,775950,739523,910477,752267,971921,891369,964061,864035,805138,788379,947189,902527,694802,924809,814214,870119,910436,597159,813806,812466
143,783.581,1.05,Negative,0,0,310259,0,267434,0,0,0,0,0,283848,356949,0,284840,0,0,306612,0,269316,0
144,788.5298,0.783,Negative,0,0,0,0,0,0,2000,0,2234,2093,3484,0,0,0,0,0,0,0,2582,3820
148,799.5748,1.067,Negative,0,6651,8159,6982,9988,7541,7577,7651,7741,6030,8809,7200,5504,7520,7077,7612,7775,3951,6725,6851
149,799.5752,0.817,Negative,20963,21518,23983,23176,26343,22664,27127,25117,23424,21217,24038,24921,18952,24867,24505,20435,24962,14538,23377,22416
150,799.5752,1.4,Negative,2637,2735,3514,2837,3369,2404,2094,2022,0,2316,3195,3832,2160,2438,3609,3243,3524,0,2577,2532
158,821.5402,1.05,Negative,3213,2871,2949,3160,3486,2680,2757,2901,2809,2923,2901,3103,2978,3096,2975,3424,3091,3894,3089,3080
160,834.5303,0.783,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
161,874.0982,3.133,Negative,0,0,0,0,0,0,2080,2762,0,0,0,0,0,0,0,0,0,0,0,0
163,885.5515,0.783,Negative,0,2540,3889,2237,2193,2564,2714,3240,2537,2980,6712,0,0,2286,2018,2327,0,0,2887,6885
