FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean,NL10_mean,NL11_mean
207,784.5822,0.8,Positive,0,0,2038,2311,0,0,3025,0,2988,0,0,0,0,0,0,0,0,0,0,0
208,784.978,5.7,Positive,2301,2371,2145,2412,2149,2045,2094,0,2101,2446,0,2158,2635,2458,2471,2676,2371,2232,2329,2569
209,785.593,0.817,Positive,203687,322193,316815,365512,265476,297859,374984,330891,388693,318564,329539,324010,305747,378274,361551,251208,367237,292283,376767,274526
210,801.5874,1.083,Positive,2564,4301,3966,5201,2180,3804,3526,2945,3596,4079,4373,4114,3891,3770,4523,2584,0,3248,3591,2277
211,801.5876,0.833,Positive,6655,9113,8884,9378,6224,8441,9862,9361,9288,8155,8387,8836,7157,8416,8525,6186,8074,6611,8910,6363
212,801.5882,1.35,Positive,2104,2259,2971,3218,0,0,2675,2738,2491,0,2997,3627,2281,3081,3676,0,4532,0,4582,2893
214,802.611,0.817,Positive,7269,11237,12611,13499,11522,12211,13807,11476,14499,11732,13550,11626,10404,13952,8581,7786,12384,9708,13466,8860
215,806.5672,0.783,Positive,0,2728,0,0,0,2424,0,3083,0,3971,7880,2973,0,0,0,0,0,3924,4979,4531
217,807.5763,1.017,Positive,59383,62860,63507,70146,15994,55892,68343,60725,65344,63182,67879,66713,62764,72869,72534,62159,69573,61825,61042,51899
218,809.5816,0.833,Positive,6920,9971,9271,19741,5123,8402,9624,8991,10025,10173,9292,10327,10180,11683,10687,7649,10201,10848,10344,6611
219,810.5882,0.8,Positive,0,0,2995,3087,0,2768,0,0,0,0,7738,0,2977,2380,2294,2038,2192,3551,0,4393
220,817.5834,1.367,Positive,2085,2634,3158,3858,0,2388,2597,0,2573,2379,3137,5882,2412,3404,4303,2109,3740,0,2705,2217
222,823.5586,0.85,Positive,9792,13732,15631,14403,5460,14643,12584,12931,16671,13548,12380,15873,10244,14833,14362,9904,13500,14836,13437,8297
225,826.2424,15.05,Positive,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5025,0,0,0,0
226,826.2426,8.833,Positive,2360,0,0,0,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471
229,826.2427,13.55,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3963,0,0,0,0
231,826.2429,9.467,Positive,6532,0,0,0,0,2918,0,0,0,4096,0,0,0,0,0,2435,0,0,0,2689
233,834.6003,0.783,Positive,0,2007,0,0,0,0,2024,2150,0,2273,10172,0,0,0,0,0,0,2115,3076,2728
246,885.2489,6.417,Positive,4236,6539,0,0,7291,2411,3058,3339,2146,0,3636,2158,4524,4949,2013,4117,3236,2809,8501,3807
247,886.2451,7.9,Positive,5409,0,0,0,2179,0,0,0,0,0,0,0,2545,0,0,5788,0,0,0,5344
248,886.2459,6.533,Positive,2538,9091,3782,0,5152,0,0,0,0,0,0,2060,0,0,2264,2694,0,0,3709,2668
