FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL10_mean,NL11_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean
1590,833.195766,7.68,Negative,13874,0,12620,0,16936,14932,18889,27356,19755,12203,11034,10380,0,0,0,0,0,0,0,19455
1591,835.041906,8.47,Negative,189177,154417,158166,139648,224240,97646,195423,231076,303526,154656,280573,309262,188705,168057,273660,221816,184793,109246,109674,149325
1593,835.305594,5.14,Negative,8108,15185,18601,14567,13874,21744,23606,23051,21075,14583,19449,10881,23458,11085,0,0,0,0,0,17605
1594,836.043422,8.45,Negative,0,49288,0,42803,41852,0,0,0,54291,0,0,79927,56949,30505,55171,0,55913,116786,0,0
1595,836.392944,1.31,Negative,7067,11157,10512,10544,11009,13063,14071,15409,14178,10173,11155,7958,8967,0,5535,6947,0,0,4868,12896
1596,837.040757,8.46,Negative,48823,59325,40445,0,51027,15919,0,57674,25357,0,0,55608,36267,0,0,0,33370,0,28021,20643
1598,837.542567,0.83,Negative,0,51557,0,0,85304,43641,71718,62522,0,60744,61304,78484,39735,0,56474,55104,52508,44375,37054,0
1599,837.548366,1.39,Negative,0,0,33298,39672,36840,31876,0,0,0,0,0,37773,56434,17165,0,0,45466,28437,0,24044
1600,838.046292,5.75,Negative,15532,17089,18778,17574,20626,16198,20123,17787,17178,18530,21839,0,17786,16421,19279,19635,20398,17293,18874,0
1601,838.548234,5.75,Negative,8231,8449,8743,8888,9441,6897,9412,8787,7916,9045,10352,8615,8439,7622,9598,10245,10256,8077,9568,7824
1603,839.276898,5.14,Negative,28162,45186,49430,41876,40858,55100,56783,58744,56325,41415,50746,35295,58382,35207,10994,20194,14754,15996,16452,47709
1607,841.246673,1.72,Negative,4784,15128,14569,14249,11930,25595,21257,16875,21409,0,18330,12183,33585,18292,5185,4676,8031,6425,6150,15714
1608,841.276086,5.13,Negative,8929,13718,14967,13281,12317,16443,16926,17694,16606,12687,14790,10414,17100,9993,0,0,0,0,0,14215
1610,842.248735,1.72,Negative,0,0,0,0,0,0,0,0,6576,4136,5578,0,10244,0,0,0,0,0,0,0
1611,842.83168,5.4,Negative,6790,0,10681,12071,17108,15615,30078,42948,25085,14011,15818,0,12849,0,0,7022,0,0,0,18829
1614,844.177014,21.94,Negative,0,0,0,20682,0,6596,0,0,0,0,0,0,19620,0,0,0,0,0,29797,0
1617,844.177115,24.52,Negative,0,0,0,0,0,0,0,9979,0,0,0,0,0,5412,0,0,0,0,5253,0
1616,844.177193,21.55,Negative,0,0,0,0,0,0,4205,0,0,0,0,0,2655,0,0,0,0,0,0,0
1615,844.177223,23.99,Negative,0,0,0,0,0,0,0,9325,0,0,0,0,10469,0,0,0,0,0,0,0
1613,844.17741,20.89,Negative,0,9959,0,14926,0,18452,18724,0,0,0,0,0,2708,0,0,0,0,0,5840,0
1612,844.177426,21.23,Negative,0,0,0,9721,0,10664,0,0,0,10529,0,0,9665,3078,7673,0,0,0,7768,0
1618,844.224781,1.71,Negative,5905,0,17456,15533,14848,0,22060,0,21812,12427,0,16603,37916,14517,0,3116,4607,4621,0,17913
1619,844.830161,5.4,Negative,0,9709,0,8097,11659,10180,19386,28302,16020,9254,0,8195,8530,0,0,0,0,0,0,13440
1622,845.177773,3.33,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49370,0,0,0,0,0
1621,845.178147,3.62,Negative,21180,0,29463,0,33020,0,0,0,41838,0,0,0,0,0,0,0,0,0,0,0
1623,845.225897,1.72,Negative,0,7926,0,0,0,0,0,12134,0,0,10022,0,0,0,0,0,0,0,0,0
1624,845.676687,1.23,Negative,18418,16027,21200,13855,18066,21851,33006,21823,20320,0,9353,14482,9717,0,6068,6530,6224,0,0,0
1625,846.180847,3.63,Negative,0,0,0,0,23718,0,0,0,0,15144,0,0,0,10526,0,0,0,0,0,0
1626,846.180995,3.34,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30038,0
