FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL10_mean,NL11_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean
488,390.160036,1.63,Positive,9511,14625,12249,12945,0,13590,13342,15472,11891,14194,15014,12542,16595,10537,7804,7383,7773,8709,7812,16367
490,392.286123,1.43,Positive,23301,25222,24534,28132,26749,22894,25717,21164,26591,26520,28202,24401,24774,25981,22460,26481,29506,26565,30883,21752
492,392.904631,5.37,Positive,18918,12521,10180,11384,13174,11400,14331,13698,12102,13063,12723,14074,10785,6634,6807,9215,5948,9220,6559,13847
494,393.170541,4.05,Positive,4206,4097,0,3795,4448,4791,0,3752,3027,0,0,0,4220,0,0,0,5797,5611,5006,0
495,393.285811,0.7,Positive,549018,0,0,464788,458810,432819,464871,425640,0,479072,612311,0,0,0,0,0,386675,500827,0,496029
496,393.29619,5.76,Positive,16291,13984,12648,13456,0,13406,15112,13570,15583,12324,13046,15994,14564,12189,11995,13820,11451,13389,12968,12804
499,395.303928,0.83,Positive,0,0,0,0,0,0,0,0,0,0,0,25638,0,0,0,0,0,0,0,0
500,396.020287,5.37,Positive,6176,7268,6708,8367,7769,7453,9217,9879,8395,6777,7851,8219,8169,0,2150,4594,0,0,2464,9730
502,398.031355,3.44,Positive,0,0,0,7887,0,0,7556,0,0,0,0,0,8084,0,0,0,0,0,0,0
501,398.031364,3.11,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945,0,0,0
503,398.240135,0.72,Positive,27972,0,0,29440,39938,28095,30624,0,23574,31272,41419,33365,26688,26728,26820,21539,33487,21100,24014,40635
504,398.922213,5.78,Positive,7954,7333,6508,8496,4663,6181,6774,4621,5652,8946,7318,7828,6526,7006,9165,7728,8232,8134,6881,7276
505,399.142206,8.02,Positive,8005,10095,7644,9243,20187,10147,10189,15476,6168,7619,9793,9777,9673,6278,0,0,0,0,0,12324
506,399.324504,0.71,Positive,83402,0,56113,66578,89337,31483,174700,34148,155051,94291,327888,156546,0,0,146837,194699,111307,173469,0,189722
507,400.327737,0.7,Positive,34030,0,0,20260,24289,0,46571,0,0,0,0,53519,47466,0,42083,0,0,54761,0,0
508,401.122714,3.44,Positive,0,14920,11502,0,0,0,19064,0,28130,28175,38544,7756,0,0,62299,74813,45151,28016,65837,52289
509,401.150086,5.14,Positive,0,8203,8892,8780,9533,10757,12603,13070,12423,7424,9447,0,11843,0,0,0,0,0,0,12209
510,401.333236,0.7,Positive,12273,0,0,0,9708,0,11404,7405,0,0,13946,0,0,0,7816,0,0,8623,5884,11443
511,401.959065,5.38,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,9108,0,0,0,0,0,9065
512,402.211773,3.04,Positive,7613,0,6674,0,0,5060,6440,0,7092,7872,5051,7307,7177,0,0,0,0,8293,7203,6371
514,403.13016,6.69,Positive,10557,0,0,0,20459,12319,15789,16279,0,16962,13813,13356,12389,0,0,10554,0,0,0,0
513,403.130519,7.07,Positive,15804,31008,26362,49334,42880,27037,35514,31369,35595,40929,34606,19012,25503,37478,36167,25718,36737,25287,30982,39240
516,403.154708,3.42,Positive,33131,14733,29776,29269,14346,35844,35270,22296,40416,18366,10412,33807,22405,0,0,16972,0,0,0,13437
517,404.133392,7.07,Positive,0,0,0,6267,0,0,0,0,4359,0,0,0,0,0,2937,0,0,0,3126,0
518,408.230866,2.97,Positive,10828,9916,8929,9921,0,8025,7634,5221,5446,12325,8787,8203,9922,11001,12009,8233,10502,15333,9670,8336
