FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean,NL10_mean,NL11_mean
710,900.785617,16.12329167,Positive,0,0,0,0,2244,0,2273,2231,2630,0,3365,3009,2873,0,3676,0,4010,0,4473,3153
885,900.7978,17.33316667,Positive,0,0,0,0,0,0,0,0,0,15357,2036,0,0,0,0,0,0,7471,4095,2543
126,900.800197,16.73733333,Positive,83311,129559,97864,116394,285585,145471,310487,293008,276596,1397626,358842,286356,284961,358843,322725,221128,281911,981247,528903,442476
125,901.725601,16.13813333,Positive,2944,3976,2969,3608,7833,4366,6771,6969,7249,33604,15950,14947,13465,18578,15813,12087,15417,32411,20230,17790
744,902.01013,17.02016667,Positive,0,0,0,0,0,0,0,0,0,2851,0,0,0,0,0,0,0,0,0,0
588,902.802373,16.47025,Positive,0,3101,2612,2640,4201,2668,4830,4289,4536,10756,5851,4754,4693,4729,5163,3707,4660,9008,6897,6373
496,902.809326,16.71033333,Positive,18186,27802,22983,25494,53207,30634,56473,53752,51747,185968,65296,53648,55246,65387,58331,43684,52665,135503,88916,77081
1042,902.812884,17.96033333,Positive,0,0,0,0,0,0,0,0,0,7344,0,0,0,0,0,0,0,0,0,0
705,902.813881,17.499,Positive,0,0,0,0,5070,0,5409,4689,3946,25906,2748,2379,3034,0,0,0,2318,7522,5097,3793
124,902.815268,16.89716667,Positive,185008,293917,242095,288770,570295,358932,587140,605363,510201,1102740,371956,273625,357452,363174,388801,238077,282831,739854,562393,481173
123,903.739123,16.51189167,Positive,4872,6168,5404,5858,10781,6927,11040,11009,9986,31581,16552,14628,14582,18809,16496,14610,16344,30362,20792,17715
122,904.590508,7.776866667,Positive,8188,7814,5867,6823,6325,5104,5963,10946,5013,10624,10476,9941,0,0,0,0,0,3226,4740,2462
121,904.828691,17.0165,Positive,40250,136069,96615,44413,191090,130535,316148,149642,125407,741823,243736,132946,132635,163020,172988,92598,120788,429739,352148,265034
120,905.754874,16.73825,Positive,7894,9905,8764,9894,17141,10720,13324,17350,13279,20828,15771,14537,14199,18418,20257,13902,15752,23258,17960,21409
497,906.843952,17.10266667,Positive,0,44496,28937,0,47659,19440,52109,79498,30585,0,53423,48242,0,0,33294,0,0,0,63858,48175
119,907.769565,16.8975,Positive,11101,12644,12423,16059,15100,13855,13536,15294,17215,17402,12360,11953,11839,14978,13516,11321,15946,17713,15362,14378
501,907.84976,17.13583333,Positive,0,11743,0,0,0,0,0,21228,0,0,0,0,0,0,0,0,0,0,0,0
117,908.747196,15.60676667,Positive,0,3067,0,2695,0,0,0,2856,0,0,3063,6343,0,0,0,0,0,0,0,0
115,909.546317,7.777225,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,2754,0,0,2019,3625,0,2915
114,909.784542,17.028,Positive,3019,8595,3979,0,9299,5232,9054,7123,10257,14783,10440,7820,8315,12282,9355,8927,7950,16744,12250,10710
580,912.797182,16.64751667,Positive,2194,0,0,0,3711,0,3054,3181,4415,16372,2726,2541,0,2419,0,0,2636,9292,3772,2497
707,912.804296,17.13183333,Positive,0,0,0,0,2152,0,0,2537,0,2952,0,0,0,0,0,0,0,3426,0,0
644,913.798542,16.61623333,Positive,0,0,0,0,0,0,3410,2353,3292,0,0,3645,0,0,0,0,2907,0,0,0
